sn  hostname    ip  batch   idc status

6CU3301Y01  xen-b0b0101-20-b.zue    10.228.177.79   zue-1128台B2    ZUE error

6CU33020QK  xen-b0b2002-20-b.zue    10.228.177.80   zue-1128台B2    ZUE ok

6CU33021ZF  xen-b0b0103-20-b.zue    10.228.177.81   zue-1128台B2    ZUE ok

6CU33021HJ  xen-b0b0104-20-b.zue    10.228.177.82   zue-1128台B2    ZUE ok

6CU3301ZTJ  xen-b0b0105-20-b.zue    10.228.177.83   zue-1128台B2    ZUE ok

6CU3302189  xen-b0b0106-20-b.zue    10.228.177.84   zue-1128台B2    ZUE ok

6CU330218B  xen-b0b0107-20-b.zue    10.228.177.85   zue-1128台B2    ZUE ok

6CU330218C  xen-b0b0108-20-b.zue    10.228.177.86   zue-1128台B2    ZUE 

6CU33021ZW  xen-b0b0109-20-b.zue    10.228.177.87   zue-1128台B2    ZUE 

6CU330218F  xen-b0b0110-20-b.zue    10.228.177.88   zue-1128台B2    ZUE 

6CU330218G  xen-b0b0111-20-b.zue    10.228.177.89   zue-1128台B2    ZUE 

6CU330218H  xen-b0b0112-20-b.zue    10.228.177.90   zue-1128台B2    ZUE 

6CU330218J  xen-b0b0113-20-b.zue    10.228.177.91   zue-1128台B2    ZUE 

6CU330218K  xen-b0b0114-20-b.zue    10.228.177.92   zue-1128台B2    ZUE 

6CU330218L  xen-b0b0201-20-b.zue    10.228.177.93   zue-1128台B2    ZUE ok

6CU330218M  xen-b0b0202-20-b.zue    10.228.177.94   zue-1128台B2    ZUE ok

6CU330214V  xen-b0b0203-20-b.zue    10.228.177.95   zue-1128台B2    ZUE 

6CU33020MC  xen-b0b0204-20-b.zue    10.228.177.96   zue-1128台B2    ZUE ok

6CU33021VJ  xen-b0b0205-20-b.zue    10.228.177.97   zue-1128台B2    ZUE ok

6CU330218R  xen-b0b0206-20-b.zue    10.228.177.98   zue-1128台B2    ZUE ok

6CU330212L  xen-b0b0207-20-b.zue    10.228.177.99   zue-1128台B2    ZUE 

6CU330218T  xen-b0b0208-20-b.zue    10.228.177.100  zue-1128台B2    ZUE 

6CU330218V  xen-b0b0209-20-b.zue    10.228.177.101  zue-1128台B2    ZUE 

6CU330217G  xen-b0b0210-20-b.zue    10.228.177.102  zue-1128台B2    ZUE 

6CU330218X  xen-b0b0211-20-b.zue    10.228.177.103  zue-1128台B2    ZUE 

